k Nrep i_ave squared_error_HSgb_G
3 1000 49 0.00311234820
3 1000 50 0.00132293333
3 1000 51 0.00296912582
3 1000 52 0.00157956125
3 1000 53 0.00096322516
3 1000 54 0.00221689585
3 1000 55 0.00128385857
3 1000 56 0.00103477736
3 1000 57 0.00180750559
3 1000 58 0.00294699925
3 1000 59 0.00204464360
3 1000 60 0.00189219823
3 1000 61 0.00316465214
3 1000 62 0.00146244147
3 1000 63 0.00157053824
3 1000 64 0.00105653426
3 1000 65 0.00351451718
3 1000 66 0.00275343798
3 1000 67 0.00261227459
3 1000 68 0.00224731111
3 1000 69 0.00105921447
3 1000 70 0.00055892429
3 1000 71 0.00186983563
3 1000 72 0.00318446910
3 1000 73 0.00371411008
3 1000 74 0.00110792691
3 1000 75 0.00112621424
3 1000 76 0.00230013950
3 1000 77 0.01173675663
3 1000 78 0.00616285901
3 1000 79 0.00216645079
3 1000 80 0.00378641712
3 1000 81 0.00197339967
3 1000 82 0.00222324941
3 1000 83 0.00107110505
3 1000 84 0.00074528808
3 1000 85 0.00289668616
3 1000 86 0.00274695539
3 1000 87 0.00198897989
3 1000 88 0.00099237532
3 1000 89 0.00164087059
3 1000 90 0.00586198686
3 1000 91 0.00118249845
3 1000 92 0.00656143201
3 1000 93 0.00155167879
3 1000 94 0.00164482024
3 1000 95 0.00789303401
3 1000 96 0.00420547185
3 1000 97 0.00227797524
3 1000 98 0.00259495547
3 1000 99 0.00485528518
3 1000 100 0.00123388692
3 10000 1 0.00084542218
3 10000 2 0.00066513698
3 10000 3 0.00057948663
3 10000 4 0.00059441748
3 10000 5 0.00055876448
3 10000 6 0.00030983039
3 10000 7 0.00054433166
3 10000 8 0.00035705323
3 10000 9 0.00071316297
3 10000 10 0.00063282632
3 10000 11 0.00049095204
3 10000 12 0.00074557828
3 10000 13 0.00084172323
3 10000 14 0.00054942930
3 10000 15 0.00134304138
3 10000 16 0.00083581225
3 10000 17 0.00059447736
3 10000 18 0.00098227713
3 10000 19 0.00061706240
3 10000 20 0.00063409543
3 10000 21 0.00069424843
3 10000 22 0.00066769943
3 10000 23 0.00095499110
3 10000 24 0.00108088058
3 10000 25 0.00121088643
3 10000 26 0.00054556115
3 10000 27 0.00064998438
3 10000 28 0.00070325746
3 10000 29 0.00121037443
3 10000 30 0.00043122298
3 10000 31 0.00044108372
3 10000 32 0.00060867815
3 10000 33 0.00042642201
3 10000 34 0.00049081943
3 10000 35 0.00047888187
3 10000 36 0.00041711398
3 10000 37 0.00049654206
3 10000 38 0.00074589298
3 10000 39 0.00083579843
3 10000 40 0.00176416774
3 10000 41 0.00036762826
3 10000 42 0.00077842903
3 10000 43 0.00083271258
3 10000 44 0.00047840564
3 10000 45 0.00046648020
3 10000 46 0.00051882958
3 10000 47 0.00045748307
3 10000 48 0.00110815954
3 10000 49 0.00043032530
3 10000 50 0.00048074669
3 10000 51 0.00074110197
3 10000 52 0.00042180546
3 10000 53 0.00041948600
3 10000 54 0.00041151897
3 10000 55 0.00047390455
3 10000 56 0.00029401220
3 10000 57 0.00055136265
3 10000 58 0.00049775467
3 10000 59 0.00083077939
3 10000 60 0.00046061554
3 10000 61 0.00054996987
3 10000 62 0.00049652932
3 10000 63 0.00067223013
3 10000 64 0.00064601840
3 10000 65 0.00102970967
3 10000 66 0.00105158076
3 10000 67 0.00044817870
3 10000 68 0.00037704576
3 10000 69 0.00077644906
3 10000 70 0.00028784516
3 10000 71 0.00114353886
3 10000 72 0.00061681058
3 10000 73 0.00054970778
3 10000 74 0.00045311466
3 10000 75 0.00060103345
3 10000 76 0.00045615744
3 10000 77 0.00120124712
3 10000 78 0.00063098314
3 10000 79 0.00041747830
3 10000 80 0.00048452194
3 10000 81 0.00041540428
3 10000 82 0.00056372767
3 10000 83 0.00062991969
3 10000 84 0.00107883921
3 10000 85 0.00049480130
3 10000 86 0.00100783249
3 10000 87 0.00056638425
3 10000 88 0.00078436410
3 10000 89 0.00059596430
3 10000 90 0.00054628709
3 10000 91 0.00086186020
3 10000 92 0.00102544402
3 10000 93 0.00069528375
3 10000 94 0.00058754782
3 10000 95 0.00056517525
3 10000 96 0.00039772524
3 10000 97 0.00048292290
3 10000 98 0.00053471481
3 10000 99 0.00100251050
3 10000 100 0.00047682933
3 100000 1 0.00036158538
3 100000 2 0.00038753971
3 100000 3 0.00039382468
3 100000 4 0.00040953465
3 100000 5 0.00030478658
3 100000 6 0.00036344913
3 100000 7 0.00045239088
3 100000 8 0.00042322237
3 100000 9 0.00038099909
3 100000 10 0.00045673008
3 100000 11 0.00044367064
3 100000 12 0.00049477558
3 100000 13 0.00043365853
3 100000 14 0.00046693662
3 100000 15 0.00060045191
3 100000 16 0.00034857853
3 100000 17 0.00063931807
3 100000 18 0.00041893478
3 100000 19 0.00041756181
3 100000 20 0.00039043361
3 100000 21 0.00057595102
3 100000 22 0.00041137006
3 100000 23 0.00073497716
3 100000 24 0.00056161575
3 100000 25 0.00042301588
3 100000 26 0.00035850494
3 100000 27 0.00039569855
3 100000 28 0.00032155170
3 100000 29 0.00045868527
3 100000 30 0.00043352296
3 100000 31 0.00033828460
3 100000 32 0.00040707822
3 100000 33 0.00061852622
3 100000 34 0.00048352239
3 100000 35 0.00042109445
3 100000 36 0.00048893093
3 100000 37 0.00038618237
3 100000 38 0.00039952854
3 100000 39 0.00053716283
3 100000 40 0.00055848938
3 100000 41 0.00034937448
3 100000 42 0.00041748859
3 100000 43 0.00044833619
3 100000 44 0.00033196049
3 100000 45 0.00033559783
3 100000 46 0.00047136820
3 100000 47 0.00029376058
3 100000 48 0.00041185303
3 100000 49 0.00033614188
3 100000 50 0.00066020823
3 100000 51 0.00049934429
3 100000 52 0.00042001420
3 100000 53 0.00046828655
3 100000 54 0.00039559676
3 100000 55 0.00042550076
